source_row,metadata_rows,local_file,processed_file,sha256,record_tai,record_utc,day,csv_date_unknown_scale,target_si,target_provenance,split,shape,dtype
13,13,data/processed/hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy,0e0649adde340f2031e927a55cf8c15b8531d31d3704e2836ab81913b29356f9,2016-02-29T00:01:30,2016-02-29T00:00:54.000Z,2016-02-29,2016-02-29 00:00:26.800,1.7044484615325928,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
14,14,data/processed/hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy,387ec9c350a52dbca5fd99766017aae4f349626cbcd87327219dbfeb4bc9e47f,2016-03-01T00:01:30,2016-03-01T00:00:54.000Z,2016-03-01,2016-03-01 00:00:26.900,1.6945123672485352,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
15,15,data/processed/hmi.m_45s.2016.03.02_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.02_00_01_30_TAI.magnetogram_processed.npy,6ffb8ad557fc5c1d6e8edfd601754abd16e9e8e50b02d16d50db835629e14414,2016-03-02T00:01:30,2016-03-02T00:00:54.000Z,2016-03-02,2016-03-02 00:00:27.000,1.678389310836792,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
16,16,data/processed/hmi.m_45s.2016.03.03_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.03_00_01_30_TAI.magnetogram_processed.npy,b879f24ae0467e21d2e3de5c5f7af47c6ac22e011662fd4d6a588d853c377ee8,2016-03-03T00:01:30,2016-03-03T00:00:54.000Z,2016-03-03,2016-03-03 00:00:27.200,1.6823947429656982,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
17,17,data/processed/hmi.m_45s.2016.03.09_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.09_00_01_30_TAI.magnetogram_processed.npy,c98e3ed77badb9408c61da132240cca153d61bdbf876064df9f4f66c492bd928,2016-03-09T00:01:30,2016-03-09T00:00:54.000Z,2016-03-09,2016-03-09 00:00:27.900,1.7582893371582031,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
18,18;19,data/processed/hmi.m_45s.2016.03.10_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.10_00_01_30_TAI.magnetogram_processed.npy,91e9da6ad2c5772ba24e81a35a278e28c8de90bf69c0a4bc7a50d58c48ce26a6,2016-03-10T00:01:30,2016-03-10T00:00:54.000Z,2016-03-10,2016-03-10 00:00:28.100,1.7211973667144775,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
20,20;21;22,data/processed/hmi.m_45s.2016.03.16_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.16_00_01_30_TAI.magnetogram_processed.npy,fdb425274600d578f070f94a0034a114e8be44e77c6e4fd6cde90ecfaa9c8167,2016-03-16T00:01:30,2016-03-16T00:00:54.000Z,2016-03-16,2016-03-16 00:00:28.900,1.716327667236328,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
23,23,data/processed/hmi.m_45s.2016.03.20_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.20_00_01_30_TAI.magnetogram_processed.npy,8bd1cc8171b1a68f15bb0110ed64cea3f9903a0ba2daa672e14015719ee53950,2016-03-20T00:01:30,2016-03-20T00:00:54.000Z,2016-03-20,2016-03-20 00:00:29.400,1.7047762870788574,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
24,24;25,data/processed/hmi.m_45s.2016.03.23_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.23_00_01_30_TAI.magnetogram_processed.npy,b35cd3aa4bbf752e5d3915f514d987762c828029824fdff1a4bc739b498e1419,2016-03-23T00:01:30,2016-03-23T00:00:54.000Z,2016-03-23,2016-03-23 00:00:29.800,1.676088571548462,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
26,26;27,data/processed/hmi.m_45s.2016.03.25_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.25_00_01_30_TAI.magnetogram_processed.npy,4bc3f8cfcd8492c0b0a0fcaf4ac505d550cab29ffb364b44c56f12564a7b754e,2016-03-25T00:01:30,2016-03-25T00:00:54.000Z,2016-03-25,2016-03-25 00:00:30.100,1.6830861568450928,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
28,28;29,data/processed/hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy,718d1f42dbf30002d0b6533511ec0839986279dbb6fa9c758cc83f1405a05805,2016-03-26T00:01:30,2016-03-26T00:00:54.000Z,2016-03-26,2016-03-26 00:00:30.300,1.682579517364502,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
30,30;31;32,data/processed/hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy,2920c38c848b8f65f7052e1f6701bdeeef907fd2c0ffc7328b7e21acfa94e9b7,2016-03-29T00:01:30,2016-03-29T00:00:54.000Z,2016-03-29,2016-03-29 00:00:30.700,1.621764898300171,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
33,33,data/processed/hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy,38bb32260c1ddf7b092c6b955a1074bb501a911f0e9c3065ecc58548c5247538,2016-03-30T00:01:30,2016-03-30T00:00:54.000Z,2016-03-30,2016-03-30 00:00:30.800,1.6189098358154297,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
34,34,data/processed/hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy,b64ff56be3d6e7f5679ff38d03e7c95671209cf7c08b40c7185c87259bd69bd2,2016-03-31T00:01:30,2016-03-31T00:00:54.000Z,2016-03-31,2016-03-31 00:00:31.000,1.6248345375061035,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
35,35,data/processed/hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy,233d77179d1f244c16f3eb1a304737e32e01d4f863abbe2f89c4e9e8f07b91ae,2016-04-02T00:01:30,2016-04-02T00:00:54.000Z,2016-04-02,2016-04-02 00:00:31.300,1.6419410705566406,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
36,36,data/processed/hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy,e017280ab23e22694569af144ea62647f71e5aaa07f1ea5fa88d7115740d2e93,2016-04-04T00:01:30,2016-04-04T00:00:54.000Z,2016-04-04,2016-04-04 00:00:31.600,1.6240298748016355,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
37,37;38,data/processed/hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy,efe77fabfb6f181ac71233d6807d35e3006bc8a75713a69be9792f35c320df26,2016-04-05T00:01:30,2016-04-05T00:00:54.000Z,2016-04-05,2016-04-05 00:00:31.700,1.656949520111084,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
39,39;40,data/processed/hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy,a300dc4fec4cf04ed040ae68d6186bf4e781ffc5e5201509ce4512cedb5adf6c,2016-04-06T00:01:30,2016-04-06T00:00:54.000Z,2016-04-06,2016-04-06 00:00:31.900,1.6188561916351318,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
41,41;42,data/processed/hmi.m_45s.2016.04.07_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.07_00_01_30_TAI.magnetogram_processed.npy,eb6a50965ff0487612c755f608cfe68247a6496931e07b24c9963de61a713caf,2016-04-07T00:01:30,2016-04-07T00:00:54.000Z,2016-04-07,2016-04-07 00:00:32.000,1.564168930053711,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
43,43,data/processed/hmi.m_45s.2016.04.11_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.11_00_01_30_TAI.magnetogram_processed.npy,73dc15eb1d25bcb693516f6c8a5aba8e4f4f6223996ec8a36856288334cb8274,2016-04-11T00:01:30,2016-04-11T00:00:54.000Z,2016-04-11,2016-04-11 00:00:32.600,1.685953140258789,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
44,44,data/processed/hmi.m_45s.2016.04.12_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.12_00_01_30_TAI.magnetogram_processed.npy,dbad0a3e9f9a8c46f68f3c0a469ebf857bef76a446c9dae734d9fe15c3ef9613,2016-04-12T00:01:30,2016-04-12T00:00:54.000Z,2016-04-12,2016-04-12 00:00:32.700,1.7225325107574463,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
45,45,data/processed/hmi.m_45s.2016.04.15_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.15_00_01_30_TAI.magnetogram_processed.npy,84dd25922f6b1055fff99cf764c41b582dfeae91ee6b883a4df9a55367c4f7e3,2016-04-15T00:01:30,2016-04-15T00:00:54.000Z,2016-04-15,2016-04-15 00:00:33.100,1.756197214126587,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
46,46,data/processed/hmi.m_45s.2016.04.18_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.18_00_01_30_TAI.magnetogram_processed.npy,2479e1aaa937e49585413557ecbf7b3ef5d2c7a1ae1c83ce5a2da1006b5f0384,2016-04-18T00:01:30,2016-04-18T00:00:54.000Z,2016-04-18,2016-04-18 00:00:33.500,1.639699935913086,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
47,47,data/processed/hmi.m_45s.2016.04.22_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.22_00_01_30_TAI.magnetogram_processed.npy,d4a012e3e88b2fc52ef7ab2822c04325a5b9202965a0343a096c7022446d9789,2016-04-22T00:01:30,2016-04-22T00:00:54.000Z,2016-04-22,2016-04-22 00:00:34.100,1.5061438083648682,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
48,48;49,data/processed/hmi.m_45s.2016.04.23_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.23_00_01_30_TAI.magnetogram_processed.npy,362681aed30a98056820a2eb87974090c0fa030bacd1babbda5bf5d261ecb938,2016-04-23T00:01:30,2016-04-23T00:00:54.000Z,2016-04-23,2016-04-23 00:00:34.200,1.494830846786499,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
50,50;51,data/processed/hmi.m_45s.2016.04.25_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.25_00_01_30_TAI.magnetogram_processed.npy,d021ca09b8120230c35dab276d69d1c312f7157f67ce457279205985cc9152ab,2016-04-25T00:01:30,2016-04-25T00:00:54.000Z,2016-04-25,2016-04-25 00:00:34.500,1.5110254287719729,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
52,52,data/processed/hmi.m_45s.2016.04.26_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.04.26_00_01_30_TAI.magnetogram_processed.npy,196add569ce68d27ef4a8ae8e1d94762d660e01155f544051f60ba50fde631f7,2016-04-26T00:01:30,2016-04-26T00:00:54.000Z,2016-04-26,2016-04-26 00:00:34.600,1.502394676208496,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
53,53,data/processed/hmi.m_45s.2016.05.01_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.01_00_01_30_TAI.magnetogram_processed.npy,07677de91aae03067c048627bc3bf73e93c8086ccb9ed0bc8c1ddbda9ad376df,2016-05-01T00:01:30,2016-05-01T00:00:54.000Z,2016-05-01,2016-05-01 00:00:35.300,1.53467059135437,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
54,54;55,data/processed/hmi.m_45s.2016.05.05_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.05_00_01_30_TAI.magnetogram_processed.npy,3b199d838045f7867efd917e5e71be3554b393b50b4eaa18f20af2a35ec68f96,2016-05-05T00:01:30,2016-05-05T00:00:54.000Z,2016-05-05,2016-05-05 00:00:35.800,1.6720950603485107,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
56,56,data/processed/hmi.m_45s.2016.05.08_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.08_00_01_30_TAI.magnetogram_processed.npy,3118c75f6e7c789ab6fb21fb101fbf630157e885bc1327e0680e0a037573d312,2016-05-08T00:01:30,2016-05-08T00:00:54.000Z,2016-05-08,2016-05-08 00:00:36.200,1.5258491039276123,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
57,57,data/processed/hmi.m_45s.2016.05.13_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.13_00_01_30_TAI.magnetogram_processed.npy,85b5b5c4e84f6ea5d02aa29f2c2136aa47043cd7d2b99035a68e48a505f2d04c,2016-05-13T00:01:30,2016-05-13T00:00:54.000Z,2016-05-13,2016-05-13 00:00:36.700,2.399522066116333,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
58,58,data/processed/hmi.m_45s.2016.05.17_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.17_00_01_30_TAI.magnetogram_processed.npy,7be1e8c76f865f8f31d3386c16a26a553c2130cbfd2b9b12b957532aa9086988,2016-05-17T00:01:30,2016-05-17T00:00:54.000Z,2016-05-17,2016-05-17 00:00:37.100,1.5255391597747805,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
59,59,data/processed/hmi.m_45s.2016.05.18_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.18_00_01_30_TAI.magnetogram_processed.npy,412b913221b01ba3afde1668c7d6f01acdc4b94c3d68d79cdb96567517b7b920,2016-05-18T00:01:30,2016-05-18T00:00:54.000Z,2016-05-18,2016-05-18 00:00:37.200,1.5886783599853516,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
60,60,data/processed/hmi.m_45s.2016.05.19_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.19_00_01_30_TAI.magnetogram_processed.npy,00267fa3876c42a53a1400157572867fa85ae856c6f59cf5d40cb0fbcda7ce37,2016-05-19T00:01:30,2016-05-19T00:00:54.000Z,2016-05-19,2016-05-19 00:00:37.300,1.5778064727783203,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
61,61,data/processed/hmi.m_45s.2016.05.20_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.20_00_01_30_TAI.magnetogram_processed.npy,acf39a1665cfa8d2febeabd84cfa46a2a9f99be8d865e67de675161b14d743a5,2016-05-20T00:01:30,2016-05-20T00:00:54.000Z,2016-05-20,2016-05-20 00:00:37.400,1.5599429607391355,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
62,62;63,data/processed/hmi.m_45s.2016.05.21_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.21_00_01_30_TAI.magnetogram_processed.npy,77214b942d3d6d5a0d0b1e413faf139253265754de60444b4a1a2ca94c184cad,2016-05-21T00:01:30,2016-05-21T00:00:54.000Z,2016-05-21,2016-05-21 00:00:37.500,1.5538036823272705,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
64,64,data/processed/hmi.m_45s.2016.05.22_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.05.22_00_01_30_TAI.magnetogram_processed.npy,986f63bc8688bfb79dd9031a9eb6f485f14560c246a24ac1ac65fc467a78b128,2016-05-22T00:01:30,2016-05-22T00:00:54.000Z,2016-05-22,2016-05-22 00:00:37.600,1.5210390090942385,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
65,65,data/processed/hmi.m_45s.2016.06.01_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.01_00_01_30_TAI.magnetogram_processed.npy,cb94e0dcf1c55c9c47c6fc14e317d02553932e2b38eb5adba018e153b2fa1591,2016-06-01T00:01:30,2016-06-01T00:00:54.000Z,2016-06-01,2016-06-01 00:00:38.500,1.4202415943145752,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
66,66;67,data/processed/hmi.m_45s.2016.06.02_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.02_00_01_30_TAI.magnetogram_processed.npy,09cea1594aab60c810370ae86151855ae9411e125fe09bdbcc82cf66ba5a770e,2016-06-02T00:01:30,2016-06-02T00:00:54.000Z,2016-06-02,2016-06-02 00:00:38.600,1.4130651950836182,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
68,68;69,data/processed/hmi.m_45s.2016.06.05_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.05_00_01_30_TAI.magnetogram_processed.npy,069cec9ca71909f1ef85ea22aadeb8ba15897015a42622db4b4fd21440fd9b43,2016-06-05T00:01:30,2016-06-05T00:00:54.000Z,2016-06-05,2016-06-05 00:00:38.800,1.4080345630645752,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
70,70,data/processed/hmi.m_45s.2016.06.07_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.07_00_01_30_TAI.magnetogram_processed.npy,ca63f0512d5a4bee1c93c34a705a508dde6b4c205feca1ffb911012cf1323f89,2016-06-07T00:01:30,2016-06-07T00:00:54.000Z,2016-06-07,2016-06-07 00:00:38.900,1.440960168838501,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
71,71,data/processed/hmi.m_45s.2016.06.09_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.09_00_01_30_TAI.magnetogram_processed.npy,3ccbb0edeccb56c16a2da59f08b774b2815474949883aac8fd56825fbd3e0f72,2016-06-09T00:01:30,2016-06-09T00:00:54.000Z,2016-06-09,2016-06-09 00:00:39.000,1.3797760009765625,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
72,72;73;74,data/processed/hmi.m_45s.2016.06.11_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.11_00_01_30_TAI.magnetogram_processed.npy,88966cd7183b75d2227c928e71021acd51fa18779188b6d2a44cba56f850b795,2016-06-11T00:01:30,2016-06-11T00:00:54.000Z,2016-06-11,2016-06-11 00:00:39.200,1.3547539710998535,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
75,75,data/processed/hmi.m_45s.2016.06.13_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.13_00_01_30_TAI.magnetogram_processed.npy,40ae3c4f334e1c55815068b400434c68e967ba847cc15176e0d052a5f41b5084,2016-06-13T00:01:30,2016-06-13T00:00:54.000Z,2016-06-13,2016-06-13 00:00:39.300,1.4049172401428225,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
76,76,data/processed/hmi.m_45s.2016.06.15_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.15_00_01_30_TAI.magnetogram_processed.npy,12a4849d73e03b80072b6ef430f20512922ede9e962832c358cff79e2727afdc,2016-06-15T00:01:30,2016-06-15T00:00:54.000Z,2016-06-15,2016-06-15 00:00:39.300,1.4504790306091309,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
77,77,data/processed/hmi.m_45s.2016.06.16_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.16_00_01_30_TAI.magnetogram_processed.npy,54dcb33d1b90bea05eb87b25eb9168bcd548f11760b91e1083256cfbc3155889,2016-06-16T00:01:30,2016-06-16T00:00:54.000Z,2016-06-16,2016-06-16 00:00:39.400,1.4442503452301023,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
78,78,data/processed/hmi.m_45s.2016.06.19_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.06.19_00_01_30_TAI.magnetogram_processed.npy,85569b97a29853354daac513b5c7de23a8a477b3a054a755a49dc84059f8f14e,2016-06-19T00:01:30,2016-06-19T00:00:54.000Z,2016-06-19,2016-06-19 00:00:39.500,1.4405786991119385,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32
