source_row,metadata_rows,local_file,processed_file,sha256,record_tai,record_utc,day,csv_date_unknown_scale,target_si,target_provenance,split,shape,dtype,candidate,prediction_onnx_si,prediction_api_4dp,selected,context_event_peak_utc,context_event_goes_class,hours_before_context_event,context_noaa,srs_region_present,srs_location,srs_magnetic_type,srs_area_msh,srs_valid_utc,srs_issued_utc,srs_other_regions,srs_path,srs_sha256,harp,harp_noaa_lifetime_mapping,harp_scope,spatial_assignment
811,811;812,data/processed/hmi.m_45s.2022.03.29_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.03.29_00_01_30_TAI.magnetogram_processed.npy,cb5a199a4483ea0bb9b4f62053c99f2c7ea035d35b5ecc1ac767987d953503c5,2022-03-29T00:01:30,2022-03-29T00:00:53.000Z,2022-03-29,2022-03-29 00:00:29.600,2.057671546936035,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2022_mar,1.6834452152252197,1.6834,True,2022-03-30T17:37:00Z,X1.3,41.60194444444444,12975,True,N13W12,Beta-Gamma,210.0,2022-03-29T00:00:00Z,2022-03-29T00:30:00Z,12974;12976;12977;12978;12979;12980,reports/phase2_historical_case/sources/20220329SRS.txt,e91650ea45dbe353e42112ddf306a0676f4ef557b5d24f1deac74b69d96b225c,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
813,813;814,data/processed/hmi.m_45s.2022.03.30_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.03.30_00_01_30_TAI.magnetogram_processed.npy,f64b967b6f71e816e31dbf38bd576baddbb2e34c4db0b29eec24c254c7567366,2022-03-30T00:01:30,2022-03-30T00:00:53.000Z,2022-03-30,2022-03-30 00:00:29.700,2.050173282623291,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2022_mar,1.7126761674880981,1.7127,True,2022-03-30T17:37:00Z,X1.3,17.601944444444445,12975,True,N13W25,Beta-Gamma-Delta,300.0,2022-03-30T00:00:00Z,2022-03-30T00:30:00Z,12974;12976;12977;12978;12979;12980,reports/phase2_historical_case/sources/20220330SRS.txt,d6f1477902dfed7836f11db7bd728264d7d4d6dd020bdcae27c332fb08ea5969,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
815,815,data/processed/hmi.m_45s.2022.04.01_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.04.01_00_01_30_TAI.magnetogram_processed.npy,82c59af48d4341bce008c23ef699675ef598fc426703bcb71c8747b288c62a24,2022-04-01T00:01:30,2022-04-01T00:00:53.000Z,2022-04-01,2022-04-01 00:00:30.000,1.9804418087005615,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2022_mar,1.6986247301101685,1.6986,False,2022-03-30T17:37:00Z,X1.3,-30.398055555555555,12975,True,N13W52,Beta-Gamma-Delta,330.0,2022-04-01T00:00:00Z,2022-04-01T00:30:00Z,12976;12978;12981,reports/phase2_historical_case/sources/20220401SRS.txt,d04d5813a0e6c8ad0638b247743644367ec959eeaaf381c343a06b516bdd2227,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
816,816;817,data/processed/hmi.m_45s.2022.04.03_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.04.03_00_01_30_TAI.magnetogram_processed.npy,8a11eda567b5a60250fa63b06298c01b174387bdeb79176b26c28157900094a5,2022-04-03T00:01:30,2022-04-03T00:00:53.000Z,2022-04-03,2022-04-03 00:00:30.300,2.0090699195861816,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2022_mar,1.6435627937316895,1.6436,False,2022-03-30T17:37:00Z,X1.3,-78.39805555555556,12975,True,N15W78,Beta-Delta,260.0,2022-04-03T00:00:00Z,2022-04-03T00:30:00Z,12976;12978;12981;12982;12983;12984,reports/phase2_historical_case/sources/20220403SRS.txt,78d01b4a9c375165d9d3ce9bdd77b081e55f23acb9aa8c3cdfedae1ae9fb2032,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
818,818;819,data/processed/hmi.m_45s.2022.04.05_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.04.05_00_01_30_TAI.magnetogram_processed.npy,cb19534ab7f29460246760dba9cf3f59d1264694437e508b66bcb01ba76b3766,2022-04-05T00:01:30,2022-04-05T00:00:53.000Z,2022-04-05,2022-04-05 00:00:30.600,1.930135488510132,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2022_mar,1.5886881351470947,1.5887,False,2022-03-30T17:37:00Z,X1.3,-126.39805555555556,12975,False,not_in_spotted_region_table,unknown,,2022-04-05T00:00:00Z,2022-04-05T00:30:00Z,12976;12978;12981;12982;12983;12985,reports/phase2_historical_case/sources/20220405SRS.txt,047b9408109a19b6f28dada706f6a9396f61f5a3e90366d07871e61aca2e08a4,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1152,1152,data/processed/hmi.m_45s.2023.12.08_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2023.12.08_00_01_30_TAI.magnetogram_processed.npy,b0dc7970c5b042c1fdc2e0648252f5ee6fc7a91226ff7e01f2c174dba50a7eea,2023-12-08T00:01:30,2023-12-08T00:00:53.000Z,2023-12-08,2023-12-08 00:00:23.100,1.8188118934631348,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2023_dec,1.661301612854004,1.6613,False,2023-12-14T17:02:00Z,X2.8,161.0186111111111,13514,True,N09E51,Beta,60.0,2023-12-08T00:00:00Z,2023-12-08T00:30:00Z,13505;13507;13508;13510;13511;13512;13513,reports/phase2_historical_case/sources/20231208SRS.txt,9a0c5af22759cfc02d14a164e365c2f269b7f42ce62e35c0a2ea99fa90fe8250,10489,"13513,13514,13517,13520",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1153,1153,data/processed/hmi.m_45s.2023.12.11_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2023.12.11_00_01_30_TAI.magnetogram_processed.npy,47ae6b108019c6e36b64ccddb3b84f60db7bb6dc61ac34de6058fc567f5aa2b8,2023-12-11T00:01:30,2023-12-11T00:00:53.000Z,2023-12-11,2023-12-11 00:00:22.900,1.6944169998168943,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2023_dec,1.5493594408035278,1.5494,False,2023-12-14T17:02:00Z,X2.8,89.01861111111111,13514,True,N10E07,Beta,30.0,2023-12-11T00:00:00Z,2023-12-11T00:30:00Z,13507;13508;13510;13511;13513;13515;13516,reports/phase2_historical_case/sources/20231211SRS.txt,54b421903fc949405a4c1eaca00156d5ff856e85a168de416d0ec3602c423100,10489,"13513,13514,13517,13520",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1154,1154;1155,data/processed/hmi.m_45s.2023.12.13_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2023.12.13_00_01_30_TAI.magnetogram_processed.npy,b4ec772937a0cd771e740ebb99903571a79f77773b7bb7d782633d9122e51a8e,2023-12-13T00:01:30,2023-12-13T00:00:53.000Z,2023-12-13,2023-12-13 00:00:22.800,1.68837308883667,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2023_dec,1.5566266775131226,1.5566,False,2023-12-14T17:02:00Z,X2.8,41.01861111111111,13514,True,N10W22,Beta,60.0,2023-12-13T00:00:00Z,2023-12-13T00:30:00Z,13513;13515;13516;13517;13518,reports/phase2_historical_case/sources/20231213SRS.txt,c739909660c384245d8783fbdfac2fd8239551b618e1bd36dfe46f344261cd24,10489,"13513,13514,13517,13520",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1156,1156,data/processed/hmi.m_45s.2023.12.16_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2023.12.16_00_01_30_TAI.magnetogram_processed.npy,93b2bf5987978b84ddd4c2e8a92bce3d94ea8896f50e60e87100851d486ae59d,2023-12-16T00:01:30,2023-12-16T00:00:53.000Z,2023-12-16,2023-12-16 00:00:22.600,1.778256893157959,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2023_dec,1.6210514307022095,1.6211,False,2023-12-14T17:02:00Z,X2.8,-30.98138888888889,13514,True,N05W68,Beta-Gamma-Delta,460.0,2023-12-16T00:00:00Z,2023-12-16T00:30:00Z,13513;13515;13516;13518;13519;13520;13521,reports/phase2_historical_case/sources/20231216SRS.txt,c4c26e26153ae7f9d24558858b5b287b455deb9c827ce3a5d2e20749926dfa9b,10489,"13513,13514,13517,13520",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1157,1157;1158,data/processed/hmi.m_45s.2023.12.17_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2023.12.17_00_01_30_TAI.magnetogram_processed.npy,6689054eee70fb1ec5090c500b6bf990c69dadf60555ddd7c793eaea3261663b,2023-12-17T00:01:30,2023-12-17T00:00:53.000Z,2023-12-17,2023-12-17 00:00:22.500,1.8018364906311035,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2023_dec,1.6224042177200317,1.6224,False,2023-12-14T17:02:00Z,X2.8,-54.98138888888889,13514,True,N05W82,Beta-Gamma,300.0,2023-12-17T00:00:00Z,2023-12-17T00:30:00Z,13513;13516;13518;13519;13520;13521;13522;13523;13524;13525,reports/phase2_historical_case/sources/20231217SRS.txt,5cf3b8102c918e2d3519f4a8e93f1c756aa39bf6ff7f7b1494cb7a9f6714fa33,10489,"13513,13514,13517,13520",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1159,1159;1160,data/processed/hmi.m_45s.2023.12.18_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2023.12.18_00_01_30_TAI.magnetogram_processed.npy,944a4b6201bf4896641c876c62242821097a53b8e095e1a40633b731df0dc7b1,2023-12-18T00:01:30,2023-12-18T00:00:53.000Z,2023-12-18,2023-12-18 00:00:22.500,1.8450021743774416,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2023_dec,1.6894090175628662,1.6894,False,2023-12-14T17:02:00Z,X2.8,-78.98138888888889,13514,True,N05W94,Beta-Gamma,120.0,2023-12-18T00:00:00Z,2023-12-18T00:30:00Z,13516;13519;13520;13521;13523;13524;13525;13526,reports/phase2_historical_case/sources/20231218SRS.txt,cc65608b75f02a9fb12b92ef6f1250b4b6a115903f45e595c080334bf35b3c10,10489,"13513,13514,13517,13520",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1250,1250,data/processed/hmi.m_45s.2024.05.04_00_03_45_TAI.magnetogram_processed.npy,hmi.m_45s.2024.05.04_00_03_45_TAI.magnetogram_processed.npy,114b90b4e0493e9670afe60678fb5af9580085288f37f508998f8b42b36f9f28,2024-05-04T00:03:45,2024-05-04T00:03:08.000Z,2024-05-04,2024-05-04 00:02:49.600,2.1918416023254395,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2024_may,1.712777018547058,1.7128,False,2024-05-14T16:51:00Z,X8.7,256.79777777777775,13664,True,S18E41,Beta-Gamma,240.0,2024-05-04T00:00:00Z,2024-05-04T00:30:00Z,13661;13662;13663;13665;13666,reports/phase2_historical_case/sources/20240504SRS.txt,7ad3ffe0d622b3ff57d9ff2df8adb5e32808f651d8e0caedd144c9ec73a71c42,11149,"13664,13668",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1251,1251,data/processed/hmi.m_45s.2024.05.05_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2024.05.05_00_01_30_TAI.magnetogram_processed.npy,fce6b2c42e0f65aeb01a73cf2bbaae9026f45dbe1e32268e5de729910bd9f2d3,2024-05-05T00:01:30,2024-05-05T00:00:53.000Z,2024-05-05,2024-05-05 00:00:34.700,2.0195424556732178,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2024_may,1.7316621541976929,1.7317,False,2024-05-14T16:51:00Z,X8.7,232.83527777777778,13664,True,S19E28,Beta-Delta,310.0,2024-05-05T00:00:00Z,2024-05-05T00:30:00Z,13661;13662;13663;13665;13666;13667,reports/phase2_historical_case/sources/20240505SRS.txt,b811b21b80b4857ae36ea00ef7955912c6476be0f458eaecd9ccec47a4b00527,11149,"13664,13668",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1252,1252,data/processed/hmi.m_45s.2024.05.08_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2024.05.08_00_01_30_TAI.magnetogram_processed.npy,fcabe8146395f1c569aaf6740abb062b9066619e4b698b1722c6b7762366b9a0,2024-05-08T00:01:30,2024-05-08T00:00:53.000Z,2024-05-08,2024-05-08 00:00:35.100,2.118813991546631,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2024_may,1.790458083152771,1.7905,False,2024-05-14T16:51:00Z,X8.7,160.83527777777778,13664,True,S20W09,Beta-Gamma-Delta,630.0,2024-05-08T00:00:00Z,2024-05-08T00:30:00Z,13661;13663;13666;13667;13668;13669;13670,reports/phase2_historical_case/sources/20240508SRS.txt,c536a0f6869f488a477483569d986f52cdfc93d4057e5d977fac99c89379a18e,11149,"13664,13668",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1253,1253;1254,data/processed/hmi.m_45s.2024.05.10_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2024.05.10_00_01_30_TAI.magnetogram_processed.npy,3d05aa2ba9027d6bfa585b3a7abf0d57283c02c6fe4dacd3ab5f41e0dee165a4,2024-05-10T00:01:30,2024-05-10T00:00:53.000Z,2024-05-10,2024-05-10 00:00:35.300,2.1192550659179688,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2024_may,1.7556434869766235,1.7556,False,2024-05-14T16:51:00Z,X8.7,112.83527777777778,13664,True,S19W34,Beta-Gamma-Delta,1090.0,2024-05-10T00:00:00Z,2024-05-10T00:30:00Z,13663;13666;13667;13670;13671;13672,reports/phase2_historical_case/sources/20240510SRS.txt,5fa32fddf22b299cbdde88013129038abd315d6e391909c9d57fae42efc21f5c,11149,"13664,13668",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1255,1255,data/processed/hmi.m_45s.2024.05.11_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2024.05.11_00_01_30_TAI.magnetogram_processed.npy,6e5623ab7c9b8d9903295f1bb9e94d31ec563f11bac9e79ffeb22e7057cd0bfd,2024-05-11T00:01:30,2024-05-11T00:00:53.000Z,2024-05-11,2024-05-11 00:00:35.400,2.062845230102539,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2024_may,1.7496269941329956,1.7496,False,2024-05-14T16:51:00Z,X8.7,88.83527777777778,13664,True,S17W48,Beta-Gamma-Delta,2400.0,2024-05-11T00:00:00Z,2024-05-11T00:30:00Z,13663;13666;13667;13670;13671;13672,reports/phase2_historical_case/sources/20240511SRS.txt,21908818a7f0812d1de33d9d3ad59311485703416590680e739f1b0720be4b93,11149,"13664,13668",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1256,1256,data/processed/hmi.m_45s.2024.05.15_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2024.05.15_00_01_30_TAI.magnetogram_processed.npy,bce7fd306d3add20420db2d8d81ba235dc71b3b2bbca88d98974a6c4c50ce69b,2024-05-15T00:01:30,2024-05-15T00:00:53.000Z,2024-05-15,2024-05-15 00:00:35.900,2.290874719619751,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2024_may,1.9547473192214966,1.9547,False,2024-05-14T16:51:00Z,X8.7,-7.164722222222222,13664,False,not_in_spotted_region_table,unknown,,2024-05-15T00:00:00Z,2024-05-15T00:30:00Z,13667;13670;13671;13672;13673;13674;13675;13676;13678;13679;13680;13682,reports/phase2_historical_case/sources/20240515SRS.txt,d5eae989548c12edcbea0f474589d16fe56b0a248308ff9926ee981dfd769647,11149,"13664,13668",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
1343,1343,data/processed/hmi.m_45s.2024.09.25_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2024.09.25_00_01_30_TAI.magnetogram_processed.npy,55fedade660de7945a13b35da6c89f6898d6fbb83e936863c23764dfc68f9a1c,2024-09-25T00:01:30,2024-09-25T00:00:53.000Z,2024-09-25,2024-09-25 00:00:31.900,1.9404411315917969,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2024_oct,1.7217400074005127,1.7217,False,2024-10-03T12:18:00Z,X9.0,204.28527777777776,13842,False,not_in_spotted_region_table,unknown,,2024-09-25T00:00:00Z,2024-09-25T00:30:00Z,13825;13827;13828;13831;13833;13834;13835;13836,reports/phase2_historical_case/sources/20240925SRS.txt,a2c17c36a746aa2800a594f1e4d4556b108810492ced9b92f5ef71bb700990f2,11930,"13834,13835,13836,13839,13842,13843,13844,13846,13847",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
